Particles,Noise,Pendiente,Error
600,2.5,0.605,0.005
600,0.0,0.72,0.005
600,1.5,0.68,0.005
600,3.5,0.47500000000000003,0.005
600,3.0,0.53,0.005
600,0.5,0.68,0.005
600,5.0,0.23500000000000001,0.005
600,2.0,0.64,0.005
600,1.0,0.71,0.005
600,4.0,0.41500000000000004,0.005
600,4.5,0.325,0.005
300,5.0,0.12,0.005
300,1.5,0.325,0.005
300,1.0,0.34500000000000003,0.005
300,2.5,0.28500000000000003,0.005
300,4.0,0.21,0.005
300,0.0,0.355,0.005
300,3.0,0.28,0.005
300,4.5,0.17,0.005
300,3.5,0.25,0.005
300,2.0,0.305,0.005
300,0.5,0.34500000000000003,0.005
900,0.5,1.03,0.005
900,2.0,0.935,0.005
900,1.0,0.975,0.005
900,1.5,0.965,0.005
900,0.0,1.06,0.005
900,4.0,0.58,0.005
900,5.0,0.33,0.005
900,3.5,0.685,0.005
900,4.5,0.485,0.005
900,3.0,0.78,0.005
900,2.5,0.88,0.005
