Particles,Noise,Tiempo
300,1.5,1008
300,1.5,849
300,1.5,992
300,1.5,949
300,1.0,966
300,1.0,1007
300,1.0,1031
300,1.0,599
300,2.5,1193
300,2.5,1129
300,2.5,1100
300,2.5,1563
300,4.0,1914
300,4.0,1750
300,4.0,1614
300,4.0,1772
300,0.0,686
300,0.0,705
300,0.0,719
300,0.0,711
300,3.0,1552
300,3.0,1530
300,3.0,1423
300,3.0,1392
300,4.5,3053
300,4.5,3058
300,4.5,2891
300,4.5,3484
300,3.5,1439
300,3.5,1855
300,3.5,1433
300,3.5,1808
300,2.0,1155
300,2.0,1151
300,2.0,1150
300,2.0,1121
300,0.5,882
300,0.5,953
300,0.5,940
300,0.5,929
