Noise,Tiempo
900,4.0,1743
900,4.0,2661
900,4.0,2133
900,4.0,1723
900,5.0,3522
900,5.0,3679
900,5.0,3422
900,0.5,791
900,0.5,1154
900,0.5,617
900,0.5,592
900,2.0,1326
900,2.0,1891
900,2.0,1480
900,2.0,1171
900,1.0,792
900,1.0,1068
900,1.0,909
900,1.0,770
900,3.5,1673
900,3.5,2638
900,3.5,1481
900,3.5,1492
900,4.5,2687
900,4.5,3486
900,4.5,2291
900,4.5,2339
900,3.0,1613
900,3.0,2263
900,3.0,1855
900,3.0,1546
900,1.5,927
900,1.5,1085
900,1.5,775
900,1.5,752
900,0.0,947
900,0.0,1037
900,0.0,900
900,0.0,937
900,2.5,1196
900,2.5,2169
900,2.5,1354
900,2.5,1150
