Noise,Tiempo
900,4.02,1743
900,4.02,2661
900,4.02,2133
900,4.02,1723
900,5.02,3522
900,5.02,3679
900,5.02,3422
900,0.52,791
900,0.52,1154
900,0.52,617
900,0.52,592
900,2.02,1326
900,2.02,1891
900,2.02,1480
900,2.02,1171
900,1.02,792
900,1.02,1068
900,1.02,909
900,1.02,770
900,3.52,1673
900,3.52,2638
900,3.52,1481
900,3.52,1492
900,4.52,2687
900,4.52,3486
900,4.52,2291
900,4.52,2339
900,3.02,1613
900,3.02,2263
900,3.02,1855
900,3.02,1546
900,1.52,927
900,1.52,1085
900,1.52,775
900,1.52,752
900,0.02,947
900,0.02,1037
900,0.02,900
900,0.02,937
900,2.52,1196
900,2.52,2169
900,2.52,1354
900,2.52,1150
